iter	Passed	Remaining
322	2820	1545
323	2836	1540
324	2856	1538
325	2871	1532
326	2881	1524
327	2889	1515
328	2898	1506
329	2905	1496
330	2913	1487
331	2920	1477
332	2929	1469
333	2936	1459
334	2945	1450
335	2951	1440
336	2959	1431
337	2967	1422
338	2975	1413
339	2982	1403
340	2990	1394
341	2998	1385
342	3007	1376
343	3016	1367
344	3024	1358
345	3032	1349
346	3041	1341
347	3052	1333
348	3061	1324
349	3071	1316
350	3080	1307
351	3090	1299
352	3098	1290
353	3107	1281
354	3114	1272
355	3121	1262
356	3129	1253
357	3137	1244
358	3144	1235
359	3152	1225
360	3160	1217
361	3168	1207
362	3177	1199
363	3185	1190
364	3194	1181
365	3202	1172
366	3211	1163
367	3219	1154
368	3228	1146
369	3235	1136
370	3244	1128
371	3252	1119
372	3260	1110
373	3267	1100
374	3275	1091
375	3283	1082
376	3291	1073
377	3298	1064
378	3307	1055
379	3314	1046
380	3323	1037
381	3330	1028
382	3340	1020
383	3349	1011
384	3357	1003
385	3366	994
386	3374	985
387	3381	976
388	3390	967
389	3397	958
390	3405	949
391	3412	940
392	3421	931
393	3428	922
394	3437	913
395	3444	904
396	3452	895
397	3459	886
398	3468	877
399	3476	869
400	3485	860
401	3492	851
402	3500	842
403	3508	833
404	3517	825
405	3525	816
406	3534	807
407	3541	798
408	3549	789
409	3557	780
410	3566	772
411	3575	763
412	3584	755
413	3594	746
414	3603	738
415	3610	729
416	3620	720
417	3628	711
418	3636	702
419	3643	694
420	3652	685
421	3659	676
422	3668	667
423	3676	658
424	3684	650
425	3692	641
426	3701	632
427	3709	623
428	3717	615
429	3726	606
430	3733	597
431	3741	588
432	3749	580
433	3757	571
434	3766	562
435	3774	554
436	3782	545
437	3789	536
438	3799	527
439	3806	519
440	3815	510
441	3822	501
442	3831	492
443	3839	484
444	3847	475
445	3855	466
446	3863	458
447	3869	449
448	3878	440
449	3885	431
450	3893	423
451	3901	414
452	3910	405
453	3917	396
454	3925	388
455	3932	379
456	3941	370
457	3948	362
458	3956	353
459	3964	344
460	3972	336
461	3980	327
462	3987	318
463	3995	310
464	4004	301
465	4011	292
466	4019	284
467	4028	275
468	4035	266
469	4044	258
470	4052	249
471	4061	240
472	4069	232
473	4077	223
474	4085	215
475	4093	206
476	4101	197
477	4109	189
478	4116	180
479	4124	171
480	4132	163
481	4140	154
482	4148	146
483	4156	137
484	4163	128
485	4171	120
486	4179	111
487	4187	102
488	4194	94
489	4204	85
490	4212	77
491	4221	68
492	4229	60
493	4238	51
494	4247	42
495	4256	34
496	4263	25
497	4272	17
498	4280	8
499	4290	0
