iter	Logloss
0	0.6697870296
1	0.6485400521
2	0.6310790967
3	0.6142221102
4	0.5995513895
5	0.5868153269
6	0.5759796052
7	0.5653891557
8	0.5570513036
9	0.5488976987
10	0.5419453382
11	0.5349802668
12	0.5290941503
13	0.5236384908
14	0.5191090083
15	0.5145203498
16	0.5109579194
17	0.5074752508
18	0.5044317469
19	0.501379605
20	0.4985826552
21	0.4960908468
22	0.494056273
23	0.4917749925
24	0.4899138651
25	0.4880132144
26	0.486202795
27	0.4846505546
28	0.4832737883
29	0.4820717723
30	0.4809780616
31	0.4798176444
32	0.4790148818
33	0.4783470146
34	0.4772833825
35	0.4763579293
36	0.4754921142
37	0.4747001961
38	0.4739457474
39	0.4733796406
40	0.4727522474
41	0.4721069631
42	0.471432032
43	0.4708785008
44	0.4703149318
45	0.4697869137
46	0.4693247561
47	0.4689045114
48	0.4684951896
49	0.468198948
50	0.4677864823
51	0.4674059571
52	0.4670565941
53	0.4667009824
54	0.4663360219
55	0.4660444787
56	0.4657456295
57	0.4654690383
58	0.4652716201
59	0.4649144867
60	0.4646663933
61	0.4644087637
62	0.4642102903
63	0.4639055305
64	0.4636289872
65	0.4634256999
66	0.4631390142
67	0.462861141
68	0.4626673814
69	0.4624607474
70	0.4622027841
71	0.4619659342
72	0.461706737
73	0.461533611
74	0.4613297089
75	0.461121322
76	0.4609580594
77	0.4606849588
78	0.4605166381
79	0.4603841299
80	0.4602930964
81	0.4601083454
82	0.4599006017
83	0.4597344176
84	0.459600041
85	0.4594813577
86	0.459350827
87	0.4591225694
88	0.4590026063
89	0.4589469515
90	0.4587888779
91	0.4586343406
92	0.4585003804
93	0.4583881419
94	0.4583229529
95	0.4582434898
96	0.458119223
97	0.4579805949
98	0.4578447422
99	0.4577146672
100	0.4576404193
101	0.4575499177
102	0.457421515
103	0.4572274893
104	0.4571401033
105	0.4570235588
106	0.4569029939
107	0.4567957307
108	0.4566523148
109	0.4565559659
110	0.4564740261
111	0.4563481916
112	0.4563215949
113	0.4561567757
114	0.4559861091
115	0.4558540958
116	0.4557263471
117	0.4556647685
118	0.4555209297
119	0.4554756375
120	0.4554052464
121	0.455325973
122	0.4552865369
123	0.455219643
124	0.4551593529
125	0.4550765803
126	0.4549702088
127	0.4548753402
128	0.4548731578
129	0.454827798
130	0.4547756075
131	0.4547034832
132	0.4546589606
133	0.4545835942
134	0.4545223972
135	0.4544603302
136	0.4544211819
137	0.4543559013
138	0.454320213
139	0.4541682724
140	0.4540494998
141	0.4539783194
142	0.4538836427
143	0.4538184362
144	0.4537279914
145	0.4536842558
146	0.4536020086
147	0.4535472063
148	0.4535083218
149	0.453407608
150	0.4533238847
151	0.4532248301
152	0.4530678641
153	0.4530247521
154	0.4529880849
155	0.4529229307
156	0.452826342
157	0.4527449516
158	0.4526930511
159	0.4526224071
160	0.4526029594
161	0.4525219222
162	0.4524241779
163	0.4523951677
164	0.452275959
165	0.4522074756
166	0.4521923426
167	0.4520763345
168	0.4520236142
169	0.451955484
170	0.4519226998
171	0.4518857754
172	0.4518547179
173	0.451777446
174	0.4517101509
175	0.4516433485
176	0.4515516063
177	0.4514488998
178	0.4513992842
179	0.4513676555
180	0.4512638632
181	0.451182196
182	0.4511124284
183	0.451059259
184	0.4510211376
185	0.4509650576
186	0.4509247451
187	0.4508161366
188	0.450799931
189	0.4507031743
190	0.4506689075
191	0.4505863486
192	0.4505277918
193	0.4504602045
194	0.450398506
195	0.4503711833
196	0.4502946745
197	0.4502415792
198	0.4501715719
199	0.4501340631
