iter	Logloss
200	0.4501157971
201	0.4500695107
202	0.450051829
203	0.4500345005
204	0.4498862205
205	0.4497799384
206	0.4497158591
207	0.4496766846
208	0.4496338953
209	0.4495817703
210	0.4494917331
211	0.4494042119
212	0.4493130693
213	0.4492720504
214	0.4492350736
215	0.4491784572
216	0.4491063133
217	0.4490024338
218	0.448918329
219	0.448861935
220	0.4487819705
221	0.4486799966
222	0.4485473685
223	0.4484220442
224	0.4483898683
225	0.4483515201
226	0.4483171444
227	0.4482618362
228	0.4481530947
229	0.4480627741
230	0.4479592086
231	0.4479029433
232	0.447808792
233	0.4477064605
234	0.4476177772
235	0.4475690489
236	0.4474482029
237	0.4473762137
238	0.4473262579
239	0.4472129031
240	0.4470852918
241	0.4470447438
242	0.4469487044
243	0.446847463
244	0.4467824004
245	0.4467391642
246	0.4466415202
247	0.4465246595
248	0.4464023658
249	0.4463056244
250	0.4462347907
251	0.4461057273
252	0.4459841051
253	0.4458737154
254	0.4457342348
255	0.4456135479
256	0.4455024715
257	0.4453947242
258	0.4453021449
259	0.445255344
260	0.4451304056
261	0.4450506853
262	0.4449400732
263	0.4448667955
264	0.4447001013
265	0.4446454973
266	0.4445130654
267	0.4443944192
268	0.444299132
269	0.4441407008
270	0.4440616804
271	0.4439558561
272	0.4438341009
273	0.4436997068
274	0.4436093012
275	0.4434760561
276	0.4433579375
277	0.4432419163
278	0.4431143529
279	0.4430454989
280	0.4429182669
281	0.4428057013
282	0.4427452194
283	0.4426391488
284	0.4425787257
285	0.4424551347
286	0.4423865598
287	0.4422513765
288	0.4421525333
289	0.442062156
290	0.4419484415
291	0.4418560628
292	0.4417350575
293	0.4416216722
294	0.4415202913
295	0.4413948274
296	0.4412933484
297	0.4411954013
298	0.4410805727
299	0.4410231998
300	0.4408857905
301	0.4407848303
302	0.4406830918
303	0.4405947792
304	0.4405281447
305	0.4404361213
306	0.4403713269
307	0.4402316981
308	0.4401366376
309	0.4400501891
310	0.4399480255
311	0.4398646663
312	0.4397333028
313	0.4396505389
314	0.4395001942
315	0.4394366207
316	0.4393252042
317	0.4392116946
318	0.439154241
319	0.439095911
320	0.4389937408
321	0.4388647908
322	0.4387421308
323	0.4386672222
324	0.4385836538
325	0.4384976479
326	0.438437384
327	0.4382994667
328	0.4381991846
329	0.438104449
330	0.4380164416
331	0.4379328557
332	0.4378262422
333	0.4377055313
334	0.4375979585
335	0.4375578465
336	0.4374816691
337	0.4373223681
338	0.4372560911
339	0.4371527174
340	0.4370740044
341	0.4369921976
342	0.4369013777
343	0.4367768775
344	0.4366790809
345	0.4365692123
346	0.4365311127
347	0.4364308153
348	0.436376619
349	0.436331728
350	0.4362444619
351	0.4361726319
352	0.4361257263
353	0.435999205
354	0.435919694
355	0.4358378851
356	0.4357857665
357	0.4356885302
358	0.4356442758
359	0.4355200656
360	0.4354182682
361	0.4353422456
362	0.4352332993
363	0.4351738857
364	0.4350668775
365	0.434977017
366	0.4348774958
367	0.4347887406
368	0.4346526088
369	0.4345481821
370	0.4344478542
371	0.4343464493
372	0.434249782
373	0.434183553
374	0.4340990907
375	0.4339936676
376	0.4339273034
377	0.4339185454
378	0.4338188062
379	0.4337078911
380	0.4336067739
381	0.4335350638
382	0.4334480027
383	0.4333724204
384	0.4332852154
385	0.433148362
386	0.4330896156
387	0.4329911823
388	0.432908752
389	0.4328641226
390	0.432792395
391	0.4327111594
392	0.4326132538
393	0.4325568707
394	0.4324405137
395	0.4323873378
396	0.4323088951
397	0.432302265
398	0.432188254
399	0.43208732
400	0.432001713
401	0.4318412957
402	0.4317916474
403	0.4317244765
404	0.4316225854
405	0.4315543527
406	0.4314935002
407	0.4314124347
408	0.4312927398
409	0.4311851669
410	0.4310912206
411	0.4310237053
412	0.4309414341
413	0.4308292501
414	0.4307389295
415	0.4306917339
416	0.4305770971
417	0.4304960796
418	0.4304392932
419	0.4303458548
420	0.4302581418
421	0.4301962994
422	0.4300798836
423	0.4299874786
424	0.4299377257
425	0.429841283
426	0.4297821441
427	0.4296978169
428	0.4295715922
429	0.4294722934
430	0.4294036443
431	0.4293138622
432	0.429221865
433	0.4291352465
434	0.4290277674
435	0.4289400325
436	0.4288679758
437	0.4288225636
438	0.4287777533
439	0.4286931405
440	0.4285909115
441	0.4285065865
442	0.4284125508
443	0.4283130993
444	0.4282701858
445	0.4281845548
446	0.4280887488
447	0.4280335452
448	0.4279475109
449	0.4278785523
450	0.4278371932
451	0.4277480957
452	0.4276662061
453	0.4275722074
454	0.42757144
455	0.4274422959
456	0.4273279447
457	0.427271263
458	0.4271725637
459	0.4271121647
460	0.4270028106
461	0.4269022625
462	0.426847011
463	0.4267454055
464	0.4266649265
465	0.4265616945
466	0.426472089
467	0.426369437
468	0.4262702908
469	0.4262127326
470	0.4261251939
471	0.4260554264
472	0.4259744176
473	0.4258974618
474	0.4258147677
475	0.4257202174
476	0.4256522944
477	0.4255938728
478	0.4255275958
479	0.4254448384
480	0.4253577402
481	0.4252658956
482	0.4251808032
483	0.4251035466
484	0.4251025437
485	0.4250510225
486	0.4249907565
487	0.4249132687
488	0.424859999
489	0.4247854677
490	0.424710884
491	0.4246151935
492	0.4245320153
493	0.4244647354
494	0.4243984105
495	0.4243267135
496	0.4242984881
497	0.4242622439
498	0.4242141719
499	0.4241547845
